id,name,latitude,longitude,capacity,connector_types,status,source
osm-node-11962153068,Colombierlabs,9.9323551,76.3885362,,Charging station,operational,OpenStreetMap
osm-node-11964269550,Charging station #11964269550,9.9916932,76.2659936,,Charging station,operational,OpenStreetMap
osm-node-11964269551,Charging station #11964269551,9.9876654,76.2643992,,Charging station,operational,OpenStreetMap
osm-node-11964275810,Charging station #11964275810,9.9905715,76.2712145,,Charging station,operational,OpenStreetMap
osm-node-11964375344,Charging station #11964375344,10.1166661,76.4457594,,Charging station,operational,OpenStreetMap
osm-node-11964400670,Charging station #11964400670,10.099556,76.3474161,,Charging station,operational,OpenStreetMap
osm-node-11964404840,Charging station #11964404840,10.0722779,76.3337758,,Charging station,operational,OpenStreetMap
osm-node-11964404990,EVOK Charging Station,10.0819847,76.3399993,,Charging station,operational,OpenStreetMap
osm-node-11964409805,Charging station #11964409805,10.0889338,76.4230504,,Charging station,operational,OpenStreetMap
osm-node-11964604757,Charging station #11964604757,10.0334782,76.2210572,,Charging station,operational,OpenStreetMap
osm-node-11964630608,Charging station #11964630608,10.0758202,76.2704908,,Charging station,operational,OpenStreetMap
osm-node-11964642849,Charging station #11964642849,9.9478069,76.31863,,Charging station,operational,OpenStreetMap
osm-node-11964645149,Charging station #11964645149,9.9774283,76.2774341,,Charging station,operational,OpenStreetMap
osm-node-11964655417,Charging station #11964655417,9.9768976,76.2777053,,Charging station,operational,OpenStreetMap
osm-node-11970079921,Charging station #11970079921,10.0187038,76.3131132,,Charging station,operational,OpenStreetMap
osm-node-11970092378,Charging station #11970092378,10.0628926,76.3211413,,Charging station,operational,OpenStreetMap
osm-node-11970092379,Charging station #11970092379,10.0348207,76.3230895,,Charging station,operational,OpenStreetMap
osm-node-11970095292,Charging station #11970095292,10.0463291,76.339378,,Charging station,operational,OpenStreetMap
